CID;LAC;BCH;Localization;GPS
10127;8050;777;Brno - Kohoutovice, Axmanova 531/13, panelák, ex 1020x (+GSM);49°11'23.10"N,16°32'13.38"E
10128;8050;792;Brno - Kohoutovice, Axmanova 531/13, panelák, ex 1020x (+GSM);49°11'23.10"N,16°32'13.38"E
10129;8050;818;Brno - Kohoutovice, Axmanova 531/13, panelák, ex 1020x (+GSM);49°11'23.10"N,16°32'13.38"E
10134;8050;4;Brno - Kohoutovice, Axmanova 531/13, panelák, ex 1020x (+DCS);49°11'23.10"N,16°32'13.38"E
10135;8050;12;Brno - Kohoutovice, Axmanova 531/13, panelák, ex 1020x (+DCS);49°11'23.10"N,16°32'13.38"E
10136;8050;2;Brno - Kohoutovice, Axmanova 531/13, panelák, ex 1020x (+DCS);49°11'23.10"N,16°32'13.38"E
10137;8040;797;Brno - Štıøice, Bakalovo nábø. 1-2, bytovı dùm, ex 1201x (+GSM);49°11'02.71"N,16°36'02.67"E
10138;8040;820;Brno - Štıøice, Bakalovo nábø. 1-2, bytovı dùm, ex 1201x (+GSM);49°11'02.71"N,16°36'02.67"E
10139;8040;776;Brno - Štıøice, Bakalovo nábø. 1-2, bytovı dùm, ex 1201x (+GSM);49°11'02.71"N,16°36'02.67"E
10147;8040;13;Brno - Štıøice, Bakalovo nábø. 1-2, bytovı dùm, ex 1201x (+DCS);49°11'02.71"N,16°36'02.67"E
10148;8040;16;Brno - Štıøice, Bakalovo nábø. 1-2, bytovı dùm, ex 1201x (+DCS);49°11'02.71"N,16°36'02.67"E
10149;8040;7;Brno - Štıøice, Bakalovo nábø. 1-2, bytovı dùm, ex 1201x (+DCS);49°11'02.71"N,16°36'02.67"E
10154;8050;819;Brno - Øeèkovice, Banskobystrická 2072/180, ex 1265x;49°14'21.37"N,16°35'00.86"E
10155;8050;797;Brno - Øeèkovice, Banskobystrická 2072/180, ex 1265x;49°14'21.37"N,16°35'00.86"E
10156;8050;791;Brno - Øeèkovice, Banskobystrická 2072/180, ex 1265x;49°14'21.37"N,16°35'00.86"E
10157;8040;783;Brno - Stránice, Barvièova 67/92, ex 1008x (+GSM);49°12'01.39"N,16°34'38.03"E
10158;8040;821;Brno - Stránice, Barvièova 67/92, ex 1008x (+GSM);49°12'01.39"N,16°34'38.03"E
10159;8040;781;Brno - Stránice, Barvièova 67/92, ex 1008x (+GSM);49°12'01.39"N,16°34'38.03"E
10164;8040;11;Brno - Stránice, Barvièova 67/92, ex 1008x (+DCS);49°12'01.39"N,16°34'38.03"E
10165;8040;5;Brno - Stránice, Barvièova 67/92, ex 1008x (+DCS);49°12'01.39"N,16°34'38.03"E
10166;8040;14;Brno - Stránice, Barvièova 67/92, ex 1008x (+DCS);49°12'01.39"N,16°34'38.03"E
10167;8040;812;Brno - Pisárky, Bauerova 491/10, budova u brány 9 BVV, ex 1289x (+O2);49°11'24.73"N,16°34'12.98"E
10168;8040;796;Brno - Pisárky, Bauerova 491/10, budova u brány 9 BVV, ex 1289x (+O2);49°11'24.73"N,16°34'12.98"E
10169;8040;827;Brno - Pisárky, Bauerova 491/10, budova u brány 9 BVV, ex 1289x (+O2);49°11'24.73"N,16°34'12.98"E
10177;8050;814;Brno - Bohunice, Bìloruská 519/18, panelák, ex 1261x;49°10'05.28"N,16°34'55.85"E
10178;8050;790;Brno - Bohunice, Bìloruská 519/18, panelák, ex 1261x;49°10'05.28"N,16°34'55.85"E
10179;8050;785;Brno - Bohunice, Bìloruská 519/18, panelák, ex 1261x;49°10'05.28"N,16°34'55.85"E
10184;8030;784;Brno - Vinohrady, Blatnická 4210/12, panelák, ex 1292x;49°12'33.76"N,16°39'39.37"E
10185;8030;823;Brno - Vinohrady, Blatnická 4210/12, panelák, ex 1292x;49°12'33.76"N,16°39'39.37"E
10186;8030;778;Brno - Vinohrady, Blatnická 4210/12, panelák, ex 1292x;49°12'33.76"N,16°39'39.37"E
10187;8040;780;Brno - Èernovice, Blatouchová 1103/7, panelák, ex 1276x;49°11'06.26"N,16°37'51.55"E
10188;8040;786;Brno - Èernovice, Blatouchová 1103/7, panelák, ex 1276x;49°11'06.26"N,16°37'51.55"E
10189;8040;817;Brno - Èernovice, Blatouchová 1103/7, panelák, ex 1276x;49°11'06.26"N,16°37'51.55"E
10194;8050;794;Brno - Horní Heršpice, Bohunická 620/26, budova v ar. pekáren DELTA, ex 1226x;49°09'48.49"N,16°36'03.36"E
10195;8050;784;Brno - Horní Heršpice, Bohunická 620/26, budova v ar. pekáren DELTA, ex 1226x;49°09'48.49"N,16°36'03.36"E
10196;8050;792;Brno - Horní Heršpice, Bohunická 620/26, budova v ar. pekáren DELTA, ex 1226x;49°09'48.49"N,16°36'03.36"E
10197;8050;784;Brno - Bosonohy, Bosonoské nám. 100/44, ZŠ, ex 3378x;49°10'33.46"N,16°31'47.44"E
10198;8050;790;Brno - Bosonohy, Bosonoské nám. 100/44, ZŠ, ex 3378x;49°10'33.46"N,16°31'47.44"E
